creator,package,archived,forks,stars,creationdate,lastcommit,secondlastcommit,thirdlastcommit
schurhammer,lustre_virtual_list,FALSE,3,12,2023-10-14,2024-10-28,2024-10-28,2024-10-28
ghivert,redraw,FALSE,1,59,2024-07-16,2025-11-06,2025-11-06,2025-11-06
ghivert,sketch,FALSE,8,78,2024-04-03,2025-09-22,2025-09-11,2025-09-08
ghivert,tardis,TRUE,0,35,2024-04-17,2025-03-19,2024-12-23,2024-12-22
lpil,glance,FALSE,14,73,2023-05-12,2025-10-21,2025-10-21,2025-10-19
bcpeinhardt,glance_printer,FALSE,4,6,2023-08-27,2025-05-03,2025-05-03,2025-05-03
gleam-lang,package-interface-decoder,FALSE,0,10,2024-01-23,2025-05-13,2025-05-05,2025-05-05
DanielleMaywood,glexer,FALSE,7,56,2023-05-11,2025-08-30,2025-08-05,2025-07-11
MystPi,pprint,FALSE,4,40,2024-03-04,2025-07-07,2025-07-07,2025-07-07
tinybackup,ansel,FALSE,2,5,2024-09-30,2025-07-30,2025-07-30,2025-07-16
gleam-community,colour,FALSE,5,18,2022-12-16,2025-07-04,2025-07-04,2025-07-04
lpil,formal,FALSE,3,49,2024-02-27,2025-08-06,2025-08-06,2025-08-06
giacomocavalieri,houdini,FALSE,2,9,2025-03-28,2025-11-12,2025-11-12,2025-11-12
lpil,htmb,FALSE,1,20,2023-08-12,2024-12-07,2024-12-07,2024-01-31
lpil,htmgrrrl,FALSE,1,13,2023-05-01,2023-12-08,2023-12-08,2023-08-03
nakaixo,nakai,FALSE,9,134,2022-02-08,2025-08-04,2025-06-22,2025-06-22
strawmelonjuice,odysseus,FALSE,0,0,2025-05-23,2025-05-23,2025-05-23,2025-05-23
ghivert,cors-builder,FALSE,4,17,2024-04-23,2025-09-11,2025-09-11,2025-09-11
gleam-lang,http,FALSE,31,264,2019-06-29,2025-10-02,2025-10-02,2025-10-02
gleam-lang,fetch,FALSE,13,51,2021-09-02,2025-08-16,2025-03-29,2025-03-29
gleam-lang,hackney,FALSE,10,55,2021-12-26,2025-11-16,2025-09-03,2025-09-03
gleam-lang,httpc,FALSE,22,150,2020-01-21,2025-07-12,2025-07-12,2025-07-09
lpil,cgi,FALSE,1,16,2023-12-22,2024-01-16,2024-01-16,2023-12-28
vshakitskiy,ewe,FALSE,0,87,2025-08-17,2025-11-19,2025-11-14,2025-11-14
gleam-lang,elli,FALSE,14,72,2019-03-23,2025-06-02,2025-06-02,2025-06-02
rawhat,mist,FALSE,30,449,2022-04-18,2025-11-05,2025-09-07,2025-08-09
gleam-lang,json,FALSE,18,140,2021-12-28,2025-11-08,2025-11-08,2025-07-01
lpil,json-typedef,FALSE,10,49,2024-09-05,2025-04-27,2025-04-27,2025-04-27
MystPi,conversation,FALSE,3,17,2024-01-11,2025-06-30,2025-06-30,2025-03-14
gleam-lang,javascript,FALSE,14,76,2021-07-31,2025-07-06,2025-07-06,2025-04-21
lpil,javascript-dom-parser,FALSE,0,9,2024-04-07,2024-04-07,2024-04-07,2024-04-07
Crowdhailer,plinth,FALSE,30,101,2023-08-02,2025-11-23,2025-11-15,2025-11-09
JohnBjrk,glimt,FALSE,2,30,2022-12-27,2024-03-19,2024-03-19,2024-03-18
defgenx,glog,FALSE,1,11,2022-11-24,2024-04-12,2024-04-12,2024-04-12
lpil,logging,FALSE,3,11,2024-02-17,2024-07-15,2024-07-15,2024-07-15
inoas,stacky,FALSE,2,12,2024-05-15,2024-06-06,2024-06-06,2024-06-06
lpil,systemd_status,FALSE,0,6,2024-02-28,2024-02-28,2024-02-28,2024-02-28
mrdimosthenis,emel,FALSE,5,113,2018-11-09,2024-09-26,2022-08-05,2022-08-04
mrdimosthenis,gleam_synapses,FALSE,0,40,2021-03-17,2024-09-26,2024-09-26,2024-09-26
rawhat,glisten,FALSE,18,86,2022-04-05,2025-11-05,2025-09-07,2025-07-16
lpil,mug,FALSE,9,31,2023-10-08,2025-09-09,2025-06-29,2025-06-29
ckreiling,nessie,FALSE,2,8,2024-04-07,2024-04-07,2024-04-07,2024-04-07
horvathandris,bigdecimal,FALSE,3,6,2024-10-05,2025-12-04,2025-12-04,2025-12-04
gleam-community,maths,FALSE,10,43,2022-12-21,2025-09-21,2025-09-21,2025-09-21
aznashwan,gleamsver,FALSE,0,2,2024-04-01,2024-07-08,2024-05-20,2024-05-20
hayleigh-dot-dev,gleam-nibble,FALSE,16,80,2022-07-17,2025-07-29,2025-07-29,2025-07-29
bwireman,cactus,FALSE,0,18,2024-07-05,2025-08-09,2025-08-05,2025-07-24
bwireman,go-over,FALSE,0,22,2024-05-18,2025-12-14,2025-08-30,2025-08-09
daniellionel01,hexdocs_offline,FALSE,1,11,2024-11-29,2025-06-19,2025-01-03,2025-01-03
imlargo,gleam-webpush,FALSE,0,2,2025-08-18,2025-08-26,2025-08-26,2025-08-26
lpil,wimp-pushover,FALSE,1,6,2023-10-22,2025-04-27,2025-04-27,2025-04-27
renatillas,carotte,FALSE,6,22,2025-02-17,2025-11-21,2025-11-21,2025-11-21
renatillas,franz,FALSE,0,8,2025-02-09,2025-10-18,2025-08-23,2025-08-23
Pevensie,m25,FALSE,1,30,2025-06-30,2025-08-28,2025-08-28,2025-08-28
massivefermion,blah,FALSE,4,21,2022-10-02,2024-12-19,2024-12-19,2024-12-07
mrdimosthenis,minigen,FALSE,3,19,2021-03-15,2024-09-26,2024-09-26,2024-09-25
giacomocavalieri,prng,FALSE,6,22,2023-09-15,2025-01-01,2025-01-01,2025-01-01
lpil,bucket,FALSE,6,32,2024-08-29,2025-12-15,2025-11-24,2025-11-24
horvathandris,openfeature-gleam-sdk,FALSE,0,5,2024-07-02,2025-08-13,2025-03-12,2025-03-12
kaiwu,weapp,FALSE,1,1,2024-07-20,2025-05-16,2025-05-16,2025-05-16
kaiwu,wechat_dev_tools,FALSE,0,1,2024-07-20,2025-05-16,2025-04-27,2025-04-15
horvathandris,dime,FALSE,0,11,2024-09-28,2025-10-20,2025-10-20,2025-08-13
solar05,glisbn,FALSE,0,3,2024-03-07,2024-03-08,2024-03-07,2024-03-07
lpil,marceau,FALSE,2,11,2023-10-22,2024-10-18,2024-10-18,2024-10-14
massivefermion,phony,FALSE,0,11,2023-09-22,2025-05-26,2025-05-26,2024-12-19
olian04,gleam_handles,FALSE,2,23,2024-06-08,2025-09-09,2025-09-09,2025-09-09
giacomocavalieri,birdie,FALSE,13,167,2024-01-27,2025-12-11,2025-12-11,2025-12-11
exercism,gleam-test-runner,FALSE,12,5,2022-11-06,2025-09-01,2025-06-30,2025-05-07
